source,target,probability
T1134,T1087,62.50
T1134,T1098,12.50
T1135,T1003,15.38
T1135,T1027,46.15
T1135,T1040,7.69
T1135,T1571,7.69
T1135,T1588,23.08
T1136,T1005,15.79
T1136,T1074,5.26
T1136,T1132,5.26
T1136,T1486,15.79
T1136,T1543,31.58
T1136,T1555,26.32
T1137,T1003,66.67
T1137,T1120,16.67
T1137,T1566,16.67
T1140,T1105,6.45
T1140,T1189,19.35
T1140,T1190,3.23
T1140,T1482,3.23
T1140,T1484,3.23
T1140,T1546,3.23
T1140,T1564,3.23
T1140,T1568,12.90
T1140,T1573,16.13
T1140,T1587,22.58
T1140,T1610,3.23
T1140,T1657,3.23
T1176,T1059,100.00
T1187,T1564,50.00
T1187,T1591,50.00
T1189,T1036,7.14
T1189,T1068,3.57
T1189,T1083,10.71
T1189,T1105,7.14
T1189,T1114,14.29
T1189,T1203,14.29
T1189,T1546,7.14
T1189,T1564,3.57
T1189,T1567,7.14
T1189,T1568,3.57
T1189,T1573,10.71
T1189,T1574,3.57
T1189,T1585,7.14
T1190,T1068,3.23
T1190,T1070,3.23
T1190,T1083,16.13
T1190,T1105,3.23
T1190,T1133,16.13
T1190,T1203,29.03
T1190,T1210,12.90
T1190,T1222,3.23
T1190,T1562,3.23
T1190,T1574,6.45
T1190,T1657,3.23
T1195,T1016,25.00
T1195,T1199,12.50
T1195,T1218,62.50
T1197,T1547,100.00
T1199,T1078,14.29
T1199,T1204,42.86
T1199,T1550,14.29
T1199,T1552,28.57
T1200,T1046,100.00
T1201,T1069,33.33
T1201,T1120,66.67
T1202,T1105,100.00
T1203,T1003,2.70
T1203,T1008,2.70
T1203,T1068,21.62
T1203,T1070,2.70
T1203,T1083,29.73
T1203,T1105,5.41
T1203,T1133,5.41
T1203,T1210,5.41
T1203,T1211,2.70
T1203,T1562,2.70
T1203,T1564,5.41
T1203,T1566,5.41
T1203,T1574,2.70
T1203,T1589,2.70
T1203,T1592,2.70
T1204,T1047,5.88
T1204,T1078,56.86
T1204,T1102,29.41
T1204,T1220,3.92
T1204,T1497,3.92
T1205,T1204,100.00
T1210,T1008,10.00
T1210,T1083,30.00
T1210,T1133,40.00
T1210,T1574,20.00
T1211,T1068,100.00
T1213,T1005,75.00
T1213,T1039,8.33
T1213,T1074,8.33
T1213,T1482,8.33
T1216,T1569,100.00
T1217,T1110,75.00
T1217,T1580,25.00
T1218,T1016,7.32
T1218,T1033,2.44
T1218,T1047,2.44
T1218,T1078,2.44
T1218,T1082,53.66
T1218,T1204,24.39
T1218,T1221,2.44
T1218,T1552,2.44
T1218,T1569,2.44
